LA_name,LA_number,For_3_P,For_1_P,For_3_S,For_1_S,Quan_P_In,Quan_S_In,Quan_P_RP,Quan_S_RP,Quan_P_Su,Quan_S_Su,Quan_P_PP,Quan_S_PP,Qual_P_1_N,Qual_P_2_N,Qual_P_3_N,Qual_P_4_N,Qual_P_0_N,Qual_P_1_E,Qual_P_2_E,Qual_P_3_E,Qual_P_4_E,Qual_P_0_E,Qual_P_Prop,Qual_P_Propranks,Qual_S_1_N,Qual_S_2_N,Qual_S_3_N,Qual_S_4_N,Qual_S_0_N,Qual_S_1_E,Qual_S_2_E,Qual_S_3_E,Qual_S_4_E,Qual_S_0_E,Qual_S_Prop,Qual_S_Propranks,KS4_WAA_N,KS4_AA_N,KS4_A_N,KS4_BA_N,KS4_WBA_N,KS4_NR_N,Qual_KS4_Prop,Qual_KS4_Propranks,KS4_WAA_E,KS4_AA_E,KS4_A_E,KS4_BA_E,KS4_WBA_E,KS4_NR_E,KS2Mat_WAA_N,KS2Mat_AA_N,KS2Mat_A_N,KS2Mat_BA_N,KS2Mat_WBA_N,KS2Mat_NR_N,Qual_KS2Mat_Prop,Qual_KS2Mat_Propranks,KS2Mat_WAA_E,KS2Mat_AA_E,KS2Mat_A_E,KS2Mat_BA_E,KS2Mat_WBA_E,KS2Mat_NR_E,KS2Read_WAA_N,KS2Read_AA_N,KS2Read_A_N,KS2Read_BA_N,KS2Read_WBA_N,KS2Read_NR_N,Qual_KS2Read_Prop,Qual_KS2Read_Propranks,KS2Read_WAA_E,KS2Read_AA_E,KS2Read_A_E,KS2Read_BA_E,KS2Read_WBA_E,KS2Read_NR_E,CPP_P_EP,CPP_P_ET,CPP_P_NS,CPP_S_EP,CPP_S_ET,CPP_S_NS,Projects_P_EP,Projects_P_ET,Projects_P_NS,Projects_S_EP,Projects_S_ET,Projects_S_NS,Cost_P_EP,Places_P_EP,Cost_P_ET,Places_P_ET,Cost_P_NS,Places_P_NS,Cost_S_EP,Places_S_EP,Cost_S_ET,Places_S_ET,Cost_S_NS,Places_S_NS,Ban_P_gro,Ban_S_gro,Funding,Pref_P_1,Pref_P_2,Pref_P_3,Pref_S_1,Pref_S_2,Pref_S_3,Pref_P_T3,Pref_S_T3
Sandwell,333,-0.004663105,0.002892306,0.028817573,0.011839387,5421,2579,480,460,3.6%,5.5%,240,1415,0,0,0,0,0,6668,20363,6040,762,0,NULL,NULL,0,0,0,0,0,4000,12602,4855,1476,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,2153,10573,7583,1394,1230,0,0,0,0,0,0,NULL,NULL,4315,6504,15716,3470,1882,1946,0,0,0,0,0,0,NULL,NULL,1759,5288,19267,2657,2916,1946,15320.29094,6800.775792,z,22623.45329,z,27257.87567,6,11,0,1,0,1,17986021.57,1174,2040232.738,300,0,0,6787035.988,300,0,0,19625670.48,720,0.298805539,0.725840979,111350997.3,91.2,4.0,1.3,73.3,11.9,4.4,96.6,89.6
Solihull,334,0.020628891,0.007280785,0.036416,0.01632,879,1246,160,20,4.6%,7.6%,513,150,30,248,0,0,0,4928,11986,2614,0,0,1,1,30,55,0,0,0,4557,9310,4030,0,0,1,1,30,0,55,0,0,0,0.352941176,54,1500,4231,9196,1250,1400,320,105,120,0,53,0,0,0.809352518,16,2608,1455,8297,4922,210,2036,105,120,30,23,0,0,0.809352518,14,1365,1905,11243,1200,1779,2036,18567.43925,3926.730499,z,14223.35443,z,z,6,6,0,1,0,0,9747905.606,525,530108.6173,135,0,0,2133503.164,150,0,0,0,0,0.144228518,0.33925962,32580117.68,89.8,6.3,1.2,79.3,9.1,4.0,97.3,92.4
Walsall,335,-0.024788732,-0.00285446,0.030124993,0.005068832,2048,0,430,220,5.9%,4.1%,660,300,180,167,0,0,0,3735,17972,4020,840,0,1,1,164,0,100,0,0,3228,9387,9097,0,0,0.621212121,102,164,0,0,100,0,0,0.621212121,39,1728,2614,9456,6264,1350,300,95,180,45,0,0,27,0.859375,14,2980,3678,12991,3480,1155,2283,0,105,170,45,0,27,0.328125,35,1775,3288,13431,3720,2070,2283,25938.59321,z,z,z,z,z,2,0,0,0,0,0,6121507.998,236,0,0,0,0,0,0,0,0,0,0,0.185260281,0.259417634,56636835.62,89.5,5.5,1.7,72.9,12.4,4.3,96.7,89.6
Wolverhampton,336,-0.002137191,0.000821997,0.00401263,0.018550191,2208,3345,560,50,2.4%,5.6%,270,754,0,120,0,0,0,3799,18713,983,420,0,1,1,95,355,0,0,0,3264,9833,2937,0,0,1,1,428,0,22,0,0,0,0.951111111,27,4281,2712,4706,1906,989,1440,0,30,90,0,0,0,0.25,46,2198,3769,13527,840,2143,1438,30,0,60,0,30,0,0.25,41,4502,2402,12470,210,2893,1438,21758.46018,16432.97692,z,z,z,z,6,8,0,0,0,0,18059521.95,830,5915871.691,360,0,0,0,0,0,0,0,0,0.320713392,0.411659485,47299625.99,87.0,7.0,2.1,71.7,10.8,4.9,96.1,87.3
Knowsley,340,-0.001248927,0.01912419,0.00075188,0.02443609,0,0,30,0,7.5%,12.3%,0,0,30,116,0,0,0,1335,10774,1727,0,0,1,1,0,60,0,0,0,0,1416,3505,2100,0,1,1,0,0,0,0,60,0,0,74,0,0,0,1100,5921,0,0,0,100,0,46,0,0,68,2380,1777,7510,630,1004,535,0,0,130,0,16,0,0,69,1820,3562,6255,420,1244,535,z,z,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086105837,-0.150841844,3425336.49,88.8,5.1,2.1,79.3,9.2,4.3,96.0,92.9
Liverpool,341,0.006135791,-0.003027705,0.02121699,0.01639682,3423,0,990,100,6.4%,10.4%,60,175,263,525,66,0,0,6504,26534,4312,945,0,0.922716628,93,290,0,296,0,0,3701,11447,14744,3890,0,0.494880546,107,249,0,41,96,50,150,0.571100917,44,2732,1882,9228,9115,9575,1250,198,120,320,157,0,59,0.4,30,4618,3771,19121,5845,2428,2512,0,33,727,0,35,59,0.041509434,67,4375,2291,22817,3828,2472,2512,16177.08274,z,z,22861.94374,z,z,14,0,0,1,0,0,19250728.46,1190,0,0,0,0,2400504.093,105,0,0,0,0,0.203367386,0.152585944,59744068.58,87.5,6.3,1.9,70.5,12.5,5.4,95.6,88.4
St Helens,342,0.004186078,0.009317399,-0.004299688,0.00096743,1271,580,120,310,9.8%,8.0%,210,0,0,0,0,0,0,3940,9414,2624,0,0,NULL,NULL,0,0,0,0,0,0,7373,3636,750,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,0,5541,4386,1832,0,0,0,0,0,0,0,NULL,NULL,420,2645,9144,2749,630,390,0,0,0,0,0,0,NULL,NULL,210,1680,12318,525,855,390,6610.93769,13506.29233,z,z,z,z,5,4,0,0,0,0,2974921.961,450,1012971.925,75,0,0,0,0,0,0,0,0,0.092750612,0.064005791,21182518.19,92.4,4.6,1.1,90.8,4.6,1.2,98.1,96.6
Sefton,343,-0.012280119,-0.006258594,0.024619074,0.018481941,0,0,60,60,5.6%,15.4%,0,0,0,0,0,0,0,2737,18734,420,210,0,NULL,NULL,0,0,0,0,0,2936,5444,8483,1779,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1030,6614,5891,5107,0,0,0,0,0,0,0,NULL,NULL,1825,3466,11111,3104,630,1965,0,0,0,0,0,0,NULL,NULL,1378,2351,12093,1345,2969,1965,11517.98774,z,z,z,z,z,2,0,0,0,0,0,2764317.059,240,0,0,0,0,0,0,0,0,0,0,0.071026616,-0.107338902,11696194.91,93.7,4.4,0.8,86.6,9.0,1.7,98.9,97.3
Wirral,344,0.020063276,0.005324485,0.021643805,0.013379807,825,0,60,0,10.9%,13.4%,120,180,48,153,23,0,0,5394,18916,2941,0,0,0.897321429,97,400,421,104,0,0,8762,9216,3039,0,0,0.887567568,83,214,379,202,24,106,0,0.641081081,37,3496,6860,7158,1069,2434,0,0,88,115,0,21,0,0.392857143,31,1260,2626,15376,4671,1299,2019,88,0,92,44,0,0,0.392857143,27,1540,2052,14971,3963,2706,2019,10562.52668,z,z,z,z,z,3,0,0,0,0,0,2492756.296,236,0,0,0,0,0,0,0,0,0,0,0.077846843,0.019736131,10319571.82,91.7,5.2,1.2,87.6,7.9,1.6,98.1,97.1
Bolton,350,-0.011145423,0.005501722,0.012182855,0.000726501,4983,2153,560,40,3.7%,7.1%,295,1733,75,0,0,0,0,8070,17258,2647,210,0,1,1,134,150,0,0,0,3998,11010,6075,0,0,1,1,134,0,0,150,0,0,0.471830986,49,2313,900,5293,10252,1725,600,0,0,75,0,0,0,0,68,5370,4725,14850,1260,1380,600,75,0,0,0,0,0,1,1,1920,3330,19185,1470,1680,600,16823.87033,10363.40494,53174.60317,z,z,z,1,4,1,0,0,0,1177670.923,70,1243608.592,120,1595238.095,30,0,0,0,0,0,0,0.261717203,0.278929298,66415938.59,88.0,6.3,2.3,75.2,11.9,4.2,96.5,91.3
Bury,351,-0.026637998,-0.006749089,0.031740339,0.020711916,1311,0,90,310,7.2%,3.5%,175,0,0,0,0,0,0,2544,11624,2222,338,0,NULL,NULL,0,0,186,0,0,0,4914,1964,3060,0,0,111,0,0,0,186,0,0,0,74,0,900,3641,4409,0,988,0,0,0,0,0,0,NULL,NULL,1040,2706,11484,950,338,210,0,0,0,0,0,0,NULL,NULL,1273,2225,12180,420,420,210,17336.46322,2436.56053,z,z,z,z,3,1,0,0,0,0,2427104.851,140,36548.40795,15,0,0,0,0,0,0,0,0,0.107852542,0.047948902,24028737.1,88.4,6.6,1.4,79.0,10.0,2.8,96.4,91.8
Manchester,352,0.068989785,0.008947961,0.079887252,0.01494987,13733,10534,2870,0,10.4%,5.5%,30,1280,487,360,105,0,420,10655,38275,3449,0,0,0.889705882,98,0,570,100,0,1200,6138,18199,3900,2550,2650,0.850746269,85,0,0,570,0,100,1200,0,74,2652,4936,11439,3720,6840,3850,180,0,60,427,105,600,0.233160622,48,9703,12196,21428,4177,2955,1920,0,487,285,0,0,600,0.630829016,17,6617,7064,28182,4096,4500,1920,14323.59,6780.044675,z,19253.87622,8341.612379,31675.41639,6,9,0,3,3,2,13607410.5,950,4271428.145,630,0,0,20216570.03,1050,875869.2998,105,38010499.67,1200,0.421099687,0.821783277,333587176.2,90.9,4.8,1.5,76.7,11.1,4.2,97.2,92.1
Oldham,353,0.069030462,0.028209957,0.085115836,0.037892732,2583,958,400,190,5.0%,1.5%,630,858,20,35,0,0,0,4835,15395,3475,315,0,1,1,0,150,0,0,1500,3037,7939,1500,1500,0,1,1,0,0,0,150,0,1500,0,74,0,1537,2250,7339,2850,0,20,0,35,0,0,0,0.363636364,35,4145,6480,10020,1995,420,960,0,20,0,35,0,0,0.363636364,30,2305,3830,13870,1375,1680,960,9416.342573,z,16374.56771,z,z,z,5,0,1,0,0,0,6591439.801,700,0,0,10315977.65,630,0,0,0,0,0,0,0.190604344,0.180496548,80818192.62,92.9,3.9,0.9,74.6,10.8,3.7,97.7,89.1
Rochdale,354,-0.004660139,0.008284692,0.035714286,0.012035872,3104,0,560,540,3.8%,2.5%,88,120,0,280,0,0,0,3673,16462,1470,210,0,1,1,0,300,0,0,0,1350,7830,4650,0,0,1,1,0,0,0,300,0,0,0,74,750,0,4800,5130,3150,0,100,75,90,15,0,0,0.625,21,3205,2202,12095,2999,1314,0,60,0,220,0,0,0,0.214285714,44,2038,945,14790,2978,1064,0,13846.08567,2895.555752,z,9662.99677,z,z,5,4,0,5,0,0,5399973.413,390,347466.6903,120,0,0,4444978.514,460,0,0,0,0,0.235406056,0.19789916,62594960.49,92.6,4.5,0.9,87.9,6.7,1.3,98.0,95.9
Salford,355,0.01587375,0.015827471,-0.019159127,-0.012329253,4380,0,240,50,7.9%,5.7%,0,135,0,195,0,0,0,4635,15613,2084,660,0,1,1,0,0,50,0,0,900,5375,4775,960,0,0,111,0,0,0,0,0,50,NULL,NULL,1175,600,2400,0,5010,2825,0,195,0,0,0,0,1,1,2625,4230,12743,2074,600,720,0,195,0,0,0,0,1,1,2475,3960,13227,675,1935,720,11214.45626,6737.056876,z,z,5865.793869,z,10,7,0,0,1,0,21195322.33,1890,1515837.797,225,0,0,0,0,175973.8161,30,0,0,0.301972504,0.248613678,58319403.43,92.3,4.1,1.1,80.6,8.2,2.5,97.5,91.3
Stockport,356,0.000531632,0.002658161,0.018178005,0.014192827,4462,466,80,30,9.4%,10.1%,195,0,0,0,0,0,420,6077,18144,1444,630,0,NULL,NULL,0,92,245,0,1050,2852,7334,4739,0,0,0.272997033,110,0,0,171,0,166,1050,0,74,1568,2189,9168,750,1250,0,0,0,0,0,0,420,NULL,NULL,2100,4868,12734,4184,1095,1314,0,0,0,0,0,420,NULL,NULL,2310,2000,18677,959,1035,1314,16335.67081,z,z,z,z,z,8,0,0,0,0,0,22869939.13,1400,0,0,0,0,0,0,0,0,0,0,0.176259337,0.10611575,43807468.87,91.4,5.4,1.4,81.0,9.0,3.3,98.3,93.2
Tameside,357,0.014238773,0.009857612,0.035006358,0.017652779,3554,27,30,160,6.4%,1.9%,90,540,0,116,0,0,0,1259,18076,2816,0,0,1,1,120,30,30,0,1050,2586,7423,2400,750,0,0.833333333,87,0,0,180,0,0,1050,0,74,0,3946,3344,2944,2925,0,23,0,60,33,0,0,0.198275862,52,4514,2824,8641,2216,1080,2876,0,0,116,0,0,0,0,69,2593,2568,12194,420,1500,2876,10459.08788,2920.754069,1225.409506,17973.52494,z,z,2,4,1,2,0,0,1045908.788,100,350490.4883,120,128667.9982,105,3594704.989,200,0,0,0,0,0.217827458,0.316935624,54977165.68,91.4,4.6,1.5,83.5,9.0,1.9,97.5,94.4
Trafford,358,0.012569369,-0.001422947,-0.00867442,-0.008738675,3363,1202,330,520,4.4%,4.7%,175,185,187,30,0,0,0,9724,10736,280,0,0,1,1,53,51,0,0,0,8280,9932,1634,0,0,1,1,0,51,53,0,0,0,0.490384615,48,4381,4700,6756,3283,726,0,30,187,0,0,0,0,1,1,6852,5731,6682,560,0,915,30,187,0,0,0,0,1,1,5156,6556,7798,315,0,915,15737.25654,z,z,z,z,z,6,0,0,0,0,0,13219295.49,840,0,0,0,0,0,0,0,0,0,0,0.208581236,0.200041632,77896483.06,89.6,5.5,1.9,79.1,12.2,3.8,97.0,95.0
Wigan,359,0.016515837,0.000980392,0.023845678,0.012991395,1485,253,480,300,6.2%,5.2%,105,0,21,0,0,0,0,8008,18029,690,0,0,1,1,0,0,0,0,0,0,14821,3896,0,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,909,1300,3550,9736,2722,500,0,0,0,0,0,21,NULL,NULL,3705,3179,15696,2065,805,1277,0,0,0,0,0,21,NULL,NULL,1851,3009,16326,1918,2346,1277,13254.88994,7214.060288,z,16131.28385,z,z,3,4,0,4,0,0,4241564.781,320,757476.3302,105,0,0,10001395.99,620,0,0,0,0,0.106044628,0.063923507,47148545.75,93.5,4.1,1.0,89.3,6.6,0.9,98.7,96.9
Barnsley,370,-0.04212262,0.002498376,-0.000174155,0.021072797,1733,0,110,100,5.4%,4.0%,0,290,0,30,0,0,0,4755,12025,3841,0,0,1,1,0,0,0,0,0,0,6300,3300,0,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1700,6700,0,0,1200,30,0,0,0,0,0,1,1,4045,3260,10525,1226,1565,0,0,0,30,0,0,0,0,69,1045,2195,13855,1610,1916,0,13213.7599,7539.333028,z,z,z,z,10,8,0,0,0,0,8258599.936,625,1545563.271,205,0,0,0,0,0,0,0,0,0.198783441,0.046282619,30289536.73,90.5,6.0,0.9,94.5,3.4,0.5,97.4,98.4
Doncaster,371,0.027956989,0.007834101,0.081022778,0.027219085,2696,0,20,90,13.6%,18.1%,301,690,0,327,0,0,0,3105,16022,6086,1387,0,1,1,0,0,0,0,0,1503,9223,7927,1166,329,NULL,NULL,0,0,0,0,0,0,NULL,NULL,845,5927,7924,3957,1166,329,0,0,297,0,0,30,0,68,1820,1807,15175,1679,2890,3229,0,0,120,177,0,30,0,69,2304,680,11238,4019,5130,3229,17748.73486,6080.362282,13866.59648,z,z,z,7,2,1,0,0,0,11288195.37,636,243214.4913,40,6545033.54,472,0,0,0,0,0,0,0.138054802,0.209694989,36128888.25,95.5,1.8,0.5,86.7,4.0,4.8,97.8,95.6
Rotherham,372,0.014584763,0.009651682,0.016373337,0.020175385,2700,691,10,330,11.2%,9.5%,315,375,0,105,0,0,0,3832,15443,3915,916,0,1,1,0,150,0,0,0,2980,10928,1444,704,0,1,1,0,0,0,150,0,0,0,74,0,2280,4605,8467,704,0,0,0,105,0,0,0,0,68,2279,1730,12883,3250,1612,2352,0,0,105,0,0,0,0,69,735,629,13769,1873,4748,2352,12495.02032,z,27903.75035,16147.27685,z,z,4,0,1,1,0,0,1649342.683,132,0,0,8789681.361,315,4440501.133,275,0,0,0,0,0.130455963,0.091270813,31058098.27,97.1,1.8,0.2,92.5,4.0,0.9,99.1,97.3
Sheffield,373,0.033212737,0.012022202,0.022798456,0.013074514,4213,5683,570,620,6.9%,8.0%,0,135,212,63,0,0,420,6472,33663,6647,0,0,1,1,120,1326,0,0,1950,6599,14816,7228,0,0,1,1,120,306,30,0,0,2940,0.934210526,28,2473,8402,13455,2213,900,1200,0,21,192,62,0,420,0.076363636,65,2248,8010,21224,8967,1563,4770,150,0,125,0,0,420,0.545454545,20,2615,4658,20863,9177,4699,4770,17438.68531,6483.543187,z,20587.5995,10741.22489,z,4,5,0,1,1,0,10062121.42,577,1167037.774,180,0,0,25158046.59,1222,644473.4935,60,0,0,0.187597952,0.207813194,122132505.7,92.0,5.3,1.2,89.8,5.3,1.7,98.4,96.9
Bradford,380,0.029195887,0.003215726,0.043351268,0.007194466,7729,4205,30,120,8.9%,6.3%,420,1200,15,126,0,0,0,7768,36198,9293,417,0,1,1,0,79,0,0,0,8847,13180,12192,1858,0,1,1,0,60,19,0,0,0,0.759493671,34,7643,6916,8357,5308,6803,1050,18,60,63,0,0,0,0.553191489,24,9645,11384,23909,6211,840,1687,18,0,123,0,0,0,0.127659574,55,7219,5885,30861,5082,2942,1687,17240.15953,12425.53329,z,8098.991691,z,18175.65919,7,1,0,1,0,1,13447324.43,780,186382.9994,15,0,0,1214848.754,150,0,0,19084442.15,1050,0.135317427,0.384696881,116676746.5,88.5,6.2,2.0,72.0,10.8,4.5,96.7,87.4
Calderdale,381,0.005578437,0.00359731,0.008110478,0.012348385,1340,1479,60,0,11.1%,5.4%,35,1090,91,0,0,0,0,4778,12996,2316,210,0,1,1,0,0,0,0,0,4305,9556,0,1392,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,1900,4909,5349,3095,0,0,0,0,0,91,0,0,0,68,1973,1745,11297,2680,1064,1541,0,0,0,0,91,0,0,69,2155,1389,12861,766,1588,1541,4735.477051,z,16132.35004,z,z,z,1,0,1,0,0,0,284128.6231,60,0,0,6775587.017,420,0,0,0,0,0,0,0.077254451,0.149160781,30583047.25,92.3,4.7,1.3,86.9,5.2,3.9,98.3,96.0
Kirklees,382,0.007997909,0.00386827,0.012058535,0.005518313,2996,1371,150,170,10.3%,5.5%,270,250,0,76,0,0,60,4437,28697,4704,1740,0,1,1,0,168,0,0,0,5294,14681,3840,3639,0,1,1,0,168,0,0,0,0,1,1,3875,2070,3394,12688,2484,2943,0,0,30,30,16,60,0,68,1664,5703,18151,3756,2688,7616,0,0,30,46,0,60,0,69,1153,1254,21508,5185,2862,7616,30707.72686,8600.980071,z,z,z,z,2,3,0,0,0,0,11239028.03,366,774088.2064,90,0,0,0,0,0,0,0,0,0.11324285,0.116588251,53224451.89,91.9,5.1,1.6,85.5,8.8,2.2,98.5,96.5
Leeds,383,0.031709281,0.009764445,0.047082857,0.004012744,12521,6618,2080,1810,6.5%,7.8%,1575,1131,157,982,105,15,420,12211,45067,11017,747,420,0.904686259,95,0,143,17,0,560,10430,29149,7857,1038,0,0.89375,82,0,52,108,0,0,560,0.325,60,7268,12637,18069,6434,1038,3028,120,343,571,165,0,480,0.386155129,34,10430,12390,33357,6107,2963,4215,60,93,896,90,60,480,0.127606339,56,6824,7354,40072,7348,3649,4215,52156.57015,16333.76895,z,74165.76098,z,z,14,36,0,1,0,0,57111444.32,1095,16333768.95,1000,0,0,18541440.24,250,0,0,0,0,0.323446431,0.277231211,287210626.2,88.4,6.0,1.7,82.4,8.6,3.0,96.1,94.1
Wakefield,384,-0.047324605,0.025631283,0.025212343,0.04687668,2716,259,230,300,5.3%,7.8%,169,180,103,242,0,0,0,4199,19760,5744,210,0,1,1,0,250,0,0,0,2950,15179,3223,0,0,1,1,0,50,200,0,0,0,0.2,66,1050,3024,11787,5491,0,0,90,30,190,0,0,35,0.387096774,33,2108,4108,15043,3713,2814,2127,0,0,310,0,0,35,0,69,1420,1890,18074,2424,3978,2127,16356.83064,10353.84132,z,z,13634.51363,z,7,4,0,0,1,0,13707024.07,838,621230.4792,60,0,0,0,0,204517.7045,15,0,0,0.253988592,0.18138506,44317155.89,92.2,4.1,0.6,93.9,3.7,0.6,97.0,98.2
Gateshead,390,0.030288847,-0.006753143,-0.01436723,0.021092317,1458,168,10,270,12.2%,2.2%,9,0,0,44,25,0,0,5779,10075,1230,0,0,0.637681159,110,0,61,0,0,0,4186,4063,2246,1250,0,1,1,0,61,0,0,0,0,1,1,0,4155,3194,1650,1496,1250,0,0,44,0,25,0,0,68,3370,2877,8564,1341,493,439,0,0,44,0,25,0,0,69,3486,888,10257,898,1116,439,17972.97331,z,z,z,z,z,2,0,0,0,0,0,5535675.779,308,0,0,0,0,0,0,0,0,0,0,0.114733496,0.098019091,20289947.44,92.0,4.6,1.5,87.4,9.5,1.2,98.1,98.0
Newcastle upon Tyne,391,0.016681179,0.004995188,0.040435459,0.00785381,1805,414,90,380,6.4%,6.3%,194,109,60,0,0,0,0,5460,14893,1575,420,0,1,1,30,456,0,0,600,5958,3125,3644,3813,0,1,1,0,0,240,0,216,630,0,74,0,2775,3418,1254,6598,2495,0,0,0,0,0,60,NULL,NULL,4897,5940,7304,210,420,3577,0,0,0,0,0,60,NULL,NULL,4319,2310,11309,413,420,3577,17652.89037,z,z,z,z,z,7,0,0,0,0,0,9267767.446,525,0,0,0,0,0,0,0,0,0,0,0.231736361,0.253966878,41581221.81,89.2,6.4,1.8,75.3,11.6,3.5,97.4,90.4
North Tyneside,392,-0.002736228,-0.004195549,0.004750824,0.006689936,24,1333,0,10,10.2%,11.5%,75,0,0,132,135,0,0,5678,11315,790,0,0,0.494382022,114,0,0,0,0,0,2006,6662,4012,450,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,825,3715,2660,2357,3573,0,0,267,0,0,0,0,68,2240,1875,8870,973,630,3195,0,103,164,0,0,0,0.38576779,29,2355,945,8798,420,2070,3195,z,z,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129406051,0.050203271,10503944.65,91.9,4.3,0.8,84.0,6.9,1.6,97.0,92.5
South Tyneside,393,0.005988024,0.008896493,0.044052863,0.01645504,0,0,80,0,7.6%,10.2%,210,0,0,49,37,0,0,3180,7729,1493,0,0,0.569767442,112,0,0,0,0,0,3978,1820,4442,0,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1100,6235,1905,1000,0,0,0,49,0,37,0,0,68,870,2048,5519,1794,1253,918,0,0,22,64,0,0,0,69,1080,1331,6977,1016,1080,918,z,z,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127014399,-0.010637054,7189364.38,92.9,4.1,0.8,89.0,6.5,0.9,97.8,96.4
Sunderland,394,0.013982464,0.003414859,0.016227608,0.011169652,148,0,20,10,12.9%,10.8%,260,300,15,30,0,0,0,2748,18540,1892,0,0,1,1,0,60,30,0,0,1290,6751,5200,2750,0,0.666666667,100,30,0,0,60,0,0,0.333333333,59,300,0,3892,5985,5814,0,15,30,0,0,0,0,1,1,3115,2865,13420,660,1370,1750,15,30,0,0,0,0,1,1,1805,3650,12155,1970,1850,1750,z,z,8674.683196,z,z,z,0,0,1,0,0,0,0,0,0,0,910841.7356,105,0,0,0,0,0,0,0.06853457,0.092389758,12238823.73,94.6,3.6,0.5,87.9,6.6,1.6,98.8,96.1
Isles Of Scilly (6),420,,,,,0,285,10,10,16.0%,17.1%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,z,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01369863,-0.009345794,874552.54,,,,,,,,
Bath and North East Somerset,800,0.065269507,0.023973397,0.044856569,0.025306048,2188,1142,80,470,11.9%,10.4%,577,0,25,0,60,0,210,2984,8838,1274,525,420,0.294117647,115,0,335,0,25,0,2167,9095,2245,1131,0,0.930555556,79,0,0,0,0,335,25,0,74,2065,3021,3277,2981,1263,2031,0,0,25,60,0,210,0,68,630,1050,6137,1020,1596,3608,0,0,25,60,0,210,0,69,1153,1616,6760,839,240,3433,14751.84709,6823.090931,z,z,z,z,11,3,0,0,0,0,8762597.174,594,511731.8199,75,0,0,0,0,0,0,0,0,0.19966968,0.111142296,41983924.13,93.6,3.9,1.3,87.6,6.9,1.9,98.8,96.4
Bristol City of,801,0.026411329,0.013274949,0.014259957,0.002403977,9989,3740,30,690,11.3%,5.6%,0,600,0,45,0,0,0,9869,20207,6044,3301,0,1,1,130,212,0,0,0,4764,11135,2503,3340,0,1,1,80,50,212,0,0,0,0.380116959,53,3179,5990,7828,2640,2105,0,0,0,45,0,0,0,0,68,732,8290,18962,5466,1617,4354,0,0,45,0,0,0,0,69,2504,7215,17745,4828,2775,4354,26999.60321,z,19597.5196,13656.1246,z,z,4,0,1,1,0,0,18224732.17,675,0,0,8230958.231,420,3482311.772,255,0,0,0,0,0.318530524,0.960861423,168545416.1,87.6,7.8,2.4,71.3,13.0,6.2,97.9,90.5
North Somerset,802,0.047818643,-0.002066238,0.066678568,0.003570472,3335,1454,30,110,12.8%,12.3%,210,808,75,55,0,0,420,2866,14077,735,119,0,1,1,440,0,0,0,0,7851,2500,1750,0,900,1,1,0,140,300,0,0,0,0.318181818,61,0,1940,6556,2505,2000,0,0,0,0,30,0,520,0,68,0,1290,10730,2940,945,1892,0,0,0,30,0,520,0,69,0,830,11610,1680,1785,1892,14925.14961,10065.77533,z,z,z,z,4,2,0,0,0,0,3373083.813,226,452959.8899,45,0,0,0,0,0,0,0,0,0.119287113,0.097632609,63268315.32,93.6,4.8,0.6,96.9,2.3,0.2,99.0,99.3
South Gloucestershire,803,0.023688016,0.008463043,0.068269677,0.029689191,1711,0,80,20,9.6%,19.3%,480,45,0,0,0,0,0,3216,18539,4234,210,0,NULL,NULL,0,0,0,0,0,0,8661,5660,3518,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,900,1114,7914,6331,780,800,0,0,0,0,0,0,NULL,NULL,1437,2725,13762,3939,980,3356,0,0,0,0,0,0,NULL,NULL,1030,1470,15963,2070,2310,3356,15376.49067,2982.006038,14525.99706,z,z,z,9,8,2,0,0,0,15345737.69,998,688843.3948,231,12637617.44,870,0,0,0,0,0,0,0.183362454,0.095479345,42195404.55,91.3,6.0,0.9,81.9,10.0,2.7,98.1,94.6
Hartlepool,805,-0.002229102,0.000371517,0.021554169,-0.002079788,884,19,10,0,14.3%,8.8%,0,39,0,35,0,0,0,1079,7116,826,0,0,1,1,0,0,40,0,0,0,2565,3830,0,0,0,111,0,0,0,0,40,0,0,74,0,0,3030,1250,2115,0,0,0,35,0,0,0,0,68,1226,540,5929,735,381,210,0,0,35,0,0,0,0,69,1253,410,5722,450,976,210,13749.76591,z,z,z,z,z,2,0,0,0,0,0,494991.5728,36,0,0,0,0,0,0,0,0,0,0,0.046721422,-0.043249661,8640607.52,97.5,1.6,0.5,93.0,5.3,0.3,99.6,98.6
