LA_name,LA_number,For_3_P,For_1_P,For_3_S,For_1_S,Quan_P_In,Quan_S_In,Quan_P_RP,Quan_S_RP,Quan_P_Su,Quan_S_Su,Quan_P_PP,Quan_S_PP,Qual_P_1_N,Qual_P_2_N,Qual_P_3_N,Qual_P_4_N,Qual_P_0_N,Qual_P_1_E,Qual_P_2_E,Qual_P_3_E,Qual_P_4_E,Qual_P_0_E,Qual_P_Prop,Qual_P_Propranks,Qual_S_1_N,Qual_S_2_N,Qual_S_3_N,Qual_S_4_N,Qual_S_0_N,Qual_S_1_E,Qual_S_2_E,Qual_S_3_E,Qual_S_4_E,Qual_S_0_E,Qual_S_Prop,Qual_S_Propranks,KS4_WAA_N,KS4_AA_N,KS4_A_N,KS4_BA_N,KS4_WBA_N,KS4_NR_N,Qual_KS4_Prop,Qual_KS4_Propranks,KS4_WAA_E,KS4_AA_E,KS4_A_E,KS4_BA_E,KS4_WBA_E,KS4_NR_E,KS2Mat_WAA_N,KS2Mat_AA_N,KS2Mat_A_N,KS2Mat_BA_N,KS2Mat_WBA_N,KS2Mat_NR_N,Qual_KS2Mat_Prop,Qual_KS2Mat_Propranks,KS2Mat_WAA_E,KS2Mat_AA_E,KS2Mat_A_E,KS2Mat_BA_E,KS2Mat_WBA_E,KS2Mat_NR_E,KS2Read_WAA_N,KS2Read_AA_N,KS2Read_A_N,KS2Read_BA_N,KS2Read_WBA_N,KS2Read_NR_N,Qual_KS2Read_Prop,Qual_KS2Read_Propranks,KS2Read_WAA_E,KS2Read_AA_E,KS2Read_A_E,KS2Read_BA_E,KS2Read_WBA_E,KS2Read_NR_E,CPP_P_EP,CPP_P_ET,CPP_P_NS,CPP_S_EP,CPP_S_ET,CPP_S_NS,Projects_P_EP,Projects_P_ET,Projects_P_NS,Projects_S_EP,Projects_S_ET,Projects_S_NS,Cost_P_EP,Places_P_EP,Cost_P_ET,Places_P_ET,Cost_P_NS,Places_P_NS,Cost_S_EP,Places_S_EP,Cost_S_ET,Places_S_ET,Cost_S_NS,Places_S_NS,Ban_P_gro,Ban_S_gro,Funding,Pref_P_1,Pref_P_2,Pref_P_3,Pref_S_1,Pref_S_2,Pref_S_3,Pref_P_T3,Pref_S_T3
Middlesbrough,806,-0.012484302,0.008938465,-0.000265393,0.010217622,610,0,60,40,6.1%,1.5%,151,450,0,97,0,0,0,1142,11407,389,0,0,1,1,0,175,0,0,0,0,6295,2550,0,0,1,1,0,0,0,0,175,0,0,74,0,1470,2450,1050,3875,0,0,18,79,0,0,0,0.18556701,54,2686,2812,6148,238,1054,0,0,18,79,0,0,0,0.18556701,47,2056,1013,7555,1050,1264,0,13146.73565,z,z,z,z,z,2,0,0,0,0,0,1840542.992,140,0,0,0,0,0,0,0,0,0,0,0.197835762,0.754022526,15720388.77,95.5,2.5,0.5,77.2,9.6,4.8,98.5,91.6
Redcar and Cleveland,807,-0.01465941,-0.007549157,0.007589897,-0.003483887,424,0,10,10,11.3%,11.8%,0,0,38,46,0,0,0,2868,9152,606,0,0,1,1,0,0,0,0,0,806,2238,1362,2993,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,806,0,563,1675,4355,0,38,0,30,0,16,0,0.452380952,27,3344,2545,4156,984,834,763,0,0,84,0,0,0,0,69,1690,1302,7737,210,924,763,15059.7388,z,z,z,z,z,2,0,0,0,0,0,2243901.082,149,0,0,0,0,0,0,0,0,0,0,0.08057871,-0.10260622,4621265.57,98.4,0.7,0.1,86.6,7.3,2.0,99.2,95.9
Stockton-on-Tees,808,0.029072106,-0.015685148,0.075350852,0.002072148,3573,0,0,30,12.6%,6.5%,0,500,0,0,0,0,0,3764,14256,1362,0,0,NULL,NULL,0,240,0,0,0,3025,7343,1050,555,0,1,1,0,0,0,240,0,0,0,74,1050,750,6043,3575,555,0,0,0,0,0,0,0,NULL,NULL,1585,4851,9426,1455,420,1645,0,0,0,0,0,0,NULL,NULL,1533,3111,11673,805,615,1645,13261.5542,11103.23497,z,z,z,z,7,3,0,0,0,0,11537552.16,870,555161.7484,50,0,0,0,0,0,0,0,0,0.184789311,0.103861395,61591277.46,96.7,2.1,0.4,85.3,8.9,2.1,99.2,96.2
Kingston upon Hull City of,810,0.011032713,0.002865084,0.030906903,0.022860581,4729,855,30,370,9.1%,4.8%,315,510,0,255,185,0,0,5175,15700,3140,420,0,0.579545455,111,0,100,0,0,300,3450,5950,5900,0,300,1,1,0,0,100,0,0,300,0,74,3300,600,6850,3200,1350,300,0,60,380,0,0,0,0.136363636,59,4890,5285,12545,1400,0,315,35,0,405,0,0,0,0.079545455,63,5295,5920,10660,1370,1190,0,9125.511982,6798.668603,6383.796167,z,z,z,7,2,2,0,0,0,4498877.407,493,373926.7731,55,1787462.927,280,0,0,0,0,0,0,0.270029192,0.297638613,49322209.44,93.2,4.2,0.7,87.6,6.2,2.3,98.2,96.1
East Riding of Yorkshire,811,-0.007687045,-0.003461182,0.008574879,0.00410628,466,891,120,30,14.8%,25.5%,0,0,0,207,0,0,0,3481,19472,3688,210,0,1,1,0,123,0,0,0,2232,13692,5131,0,0,1,1,0,0,123,0,0,0,0,74,940,3446,12405,4264,0,0,0,16,144,47,0,0,0.077294686,64,1238,823,16148,4687,1763,2192,0,16,113,0,78,0,0.077294686,64,1577,676,16655,2928,2823,2192,10303.58869,5150.731481,z,z,z,z,11,1,0,0,0,0,4193560.598,407,154521.9444,30,0,0,0,0,0,0,0,0,0.037440289,-0.121778052,17296644.67,96.2,2.2,0.4,94.1,3.2,0.4,98.8,97.7
North East Lincolnshire,812,0.002343292,0.013181019,0.096805897,0.046314496,1456,0,90,30,9.9%,5.3%,45,0,0,0,0,0,0,1305,11158,2175,420,0,NULL,NULL,0,0,0,0,0,4087,3200,2904,0,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,750,4087,2300,2104,950,0,0,0,0,0,0,0,NULL,NULL,3405,1725,8339,329,120,1140,0,0,0,0,0,0,NULL,NULL,1540,2040,7593,1890,855,1140,z,z,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128742268,0.342346209,16391675.26,94.6,3.0,0.5,90.3,7.0,1.1,98.1,98.5
North Lincolnshire,813,0.006176877,0.010537025,-0.004541134,0.017953321,933,24,110,120,10.2%,9.2%,45,30,0,0,0,0,0,2104,10961,1445,0,0,NULL,NULL,0,0,0,0,0,0,11027,870,0,96,NULL,NULL,0,0,0,0,0,0,NULL,NULL,1065,2720,4757,1885,870,696,0,0,0,0,0,0,NULL,NULL,602,1120,8625,2529,554,1080,0,0,0,0,0,0,NULL,NULL,813,420,7994,714,3489,1080,14504.81222,1403.924811,z,z,z,z,6,1,0,0,0,0,3379621.247,233,30886.34585,22,0,0,0,0,0,0,0,0,0.101723719,0.146404945,11310270.36,94.6,2.8,0.4,93.5,4.7,0.4,97.9,98.6
North Yorkshire,815,0.059721672,0.012191426,0.041753922,0.020780309,1385,0,270,320,15.9%,17.4%,1220,140,163,176,48,53,0,6109,34428,5874,1856,0,0.770454545,104,111,50,315,0,0,13005,20956,5283,1304,0,0.338235294,108,111,0,50,0,15,300,0.630681818,38,5996,12277,17244,2619,2112,300,70,58,228,40,0,44,0.323232323,40,1706,4175,25610,8000,4527,4249,103,26,247,0,20,44,0.325757576,36,2926,1351,32472,2228,4990,4300,22362.22723,z,25238.83912,z,z,z,26,0,1,0,0,0,34974523.39,1564,0,0,6057321.39,240,0,0,0,0,0,0,0.070004442,-0.033741424,66915138.38,93.4,3.6,0.5,88.8,5.2,1.3,97.5,95.3
York,816,0.011338033,0.009884439,0.036641725,0.010453345,2274,856,60,280,14.4%,5.4%,105,30,0,0,138,0,0,3416,10315,1440,0,0,0,118,145,140,0,0,0,6838,2355,0,0,0,1,1,98,0,187,0,0,0,0.343859649,57,2945,1094,5154,0,0,0,0,66,0,0,0,72,1,1,0,3089,9033,548,1350,1151,0,0,66,0,0,72,0,69,587,1616,8901,1273,1643,1151,12995.86938,25598.23793,10994.33633,136862.5214,z,z,1,1,1,1,0,0,870723.2484,67,383973.5689,15,659660.1798,60,8211751.283,60,0,0,0,0,0.120730609,0.109387476,47074213.59,96.0,3.1,0.2,91.6,5.0,1.1,99.2,97.6
Luton,821,0.055375165,0.012461606,0.067413295,0.013078035,5084,2432,10,120,7.2%,11.0%,0,625,0,0,0,0,0,2578,15000,7434,0,0,NULL,NULL,0,0,0,0,1200,2320,8195,5080,0,0,NULL,NULL,0,0,0,0,0,1200,NULL,NULL,2170,4300,4045,2830,2250,0,0,0,0,0,0,0,NULL,NULL,2940,4860,7530,3330,2064,4288,0,0,0,0,0,0,NULL,NULL,1470,3660,9780,2964,2850,4288,9279.981523,z,z,13218.21224,z,z,3,0,0,2,0,0,5011190.022,540,0,0,0,0,5908540.871,447,0,0,0,0,0.248186556,0.448142788,85453090.42,93.5,4.4,1.1,79.0,9.5,5.1,99.0,93.6
Bedford Borough,822,0.01387298,0.024627721,-0.000817494,0.029940732,8353,0,160,800,13.2%,15.8%,1140,0,0,328,150,0,0,2607,10641,3430,0,840,0.686192469,108,0,0,0,0,0,1232,11885,500,0,600,NULL,NULL,0,0,0,0,0,0,NULL,NULL,500,3495,3497,1243,1080,4402,0,0,0,388,0,90,0,68,0,840,6015,4060,4868,1735,0,0,238,0,150,90,0,69,0,0,9088,3180,3515,1735,11278.52367,z,z,13652.93865,z,z,23,0,0,1,0,0,23053302.39,2044,0,0,0,0,1228764.479,90,0,0,0,0,0.360235427,0.272191287,53898320.19,94.4,4.3,0.7,85.9,9.1,2.0,99.4,97.0
Central Bedfordshire,823,0.05846278,0.020294533,0.073650214,0.012286737,5825,610,230,610,9.3%,10.3%,720,300,260,480,0,0,0,5515,19253,2370,300,0,1,1,0,240,0,0,0,649,13637,3280,750,0,1,1,0,0,0,50,0,190,0,74,0,0,2341,1200,1340,13435,0,0,160,0,0,580,0,68,0,1018,3575,2395,263,20187,0,0,160,0,0,580,0,69,0,1348,3862,1311,730,20187,19667.57898,21635.88194,z,27256.66988,z,z,11,1,0,6,0,0,35696655.85,1815,3029023.472,140,0,0,36251370.94,1330,0,0,0,0,0.351626221,0.201199249,92628771.26,94.9,3.1,0.7,96.7,2.3,0.0,98.7,99.0
Buckinghamshire,825,0.008926543,-0.002589379,0.017745755,-0.001467694,4095,5683,240,830,7.8%,10.3%,363,1337,0,433,28,0,0,9251,33537,2115,630,420,0.939262473,89,105,357,0,0,0,15801,17183,4287,1771,0,1,1,135,116,178,33,0,0,0.543290043,45,14381,7613,10262,3265,2921,600,0,0,236,32,0,193,0,68,2422,3917,23817,5805,3384,6608,0,90,178,0,0,193,0.335820896,33,4886,4352,25029,2708,2370,6608,19765.94834,24644.89237,z,27963.97985,14585.80644,z,6,15,0,4,3,0,17255672.9,873,12199221.72,495,0,0,14960729.22,535,1239793.548,85,0,0,0.15418939,0.170275554,109090131.7,90.4,5.9,1.4,74.7,11.2,5.5,97.7,91.5
Milton Keynes,826,0.056067761,0.040963946,0.026397116,0.015709503,6953,4239,110,0,14.2%,10.8%,855,1990,147,15,0,0,330,7352,18254,2040,1815,630,1,1,0,0,0,0,750,0,15368,4275,0,0,NULL,NULL,0,0,0,0,0,750,NULL,NULL,0,5800,8118,2725,3000,0,0,0,0,15,0,477,0,68,2730,5464,11351,3880,1680,4986,0,0,0,0,15,477,0,69,2710,3561,14199,2850,1785,4986,15695.23109,z,13610.78942,20565.37271,z,18173.02601,8,0,4,3,0,1,17594354.05,1121,0,0,33033385.92,2427,20318588.24,988,0,0,29076841.62,1600,0.324874071,0.441802253,170297698.3,91.7,5.0,1.6,76.2,10.3,4.5,98.3,91.1
Derbyshire,830,-0.00621753,0.002044579,-0.001234373,0.002468747,2911,0,690,150,12.3%,11.6%,1477,0,30,218,0,0,0,5936,44261,9038,887,0,1,1,0,282,0,0,0,4597,22850,13043,5057,0,1,1,0,0,0,16,0,266,0,74,2203,3849,16083,14385,8043,984,0,40,178,0,0,30,0.183486239,55,1326,4870,27552,8022,5611,12741,0,0,218,0,0,30,0,69,3040,1398,30495,4958,7490,12741,13355.9809,z,z,z,z,z,20,0,0,0,0,0,10991972.28,823,0,0,0,0,0,0,0,0,0,0,0.078218618,-0.064366151,50259585.91,95.4,3.1,0.6,83.2,6.4,1.5,99.1,91.1
Derby,831,0.009472089,0.002020712,0.055805218,0.018311087,3206,3179,60,0,8.3%,10.3%,315,870,0,32,0,0,0,2733,15862,2482,520,0,1,1,0,201,90,0,1260,2887,5223,3507,5070,0,0.690721649,98,0,0,0,291,0,1260,0,74,1125,4636,3034,3372,3920,600,0,0,0,0,0,32,NULL,NULL,1400,2802,7021,1500,1500,7374,0,0,0,0,0,32,NULL,NULL,1351,1130,8462,630,2650,7374,11916.45146,8631.160514,z,z,z,z,3,1,0,0,0,0,2895697.706,243,86311.60514,10,0,0,0,0,0,0,0,0,0.217612063,0.213016453,56315597.08,88.7,5.7,1.8,81.5,9.5,3.2,96.2,94.3
Durham,840,-0.017170891,0.02739166,0.020780153,-0.012523931,2907,0,180,160,14.8%,17.4%,193,60,245,212,0,0,0,6891,32129,5163,630,0,1,1,0,27,0,0,0,7251,15772,8023,2103,0,1,1,0,0,27,0,0,0,0,74,975,8807,10637,7417,4713,600,128,0,300,0,29,0,0.280087527,42,4893,3470,28206,2782,2966,2496,56,0,372,29,0,0,0.122538293,58,3913,3868,28088,1738,4710,2496,15711.44381,z,z,z,z,z,17,0,0,0,0,0,14046030.77,894,0,0,0,0,0,0,0,0,0,0,0.099407523,0.036193681,21179499.39,95.4,3.5,0.4,94.0,3.7,0.8,99.3,98.5
Darlington,841,0.014226504,0.006273104,0.063411326,0.032722957,870,784,0,0,12.2%,7.4%,0,0,0,0,0,0,0,1495,5830,2046,0,0,NULL,NULL,0,0,0,0,0,1835,0,3346,0,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,1200,2446,1535,0,0,0,0,0,0,0,0,NULL,NULL,1630,1650,4375,840,0,876,0,0,0,0,0,0,NULL,NULL,1225,640,5160,840,630,876,18037.2205,z,z,z,z,z,2,0,0,0,0,0,4058374.614,225,0,0,0,0,0,0,0,0,0,0,0.056404522,0.192601292,13343101.99,95.9,3.0,0.6,83.6,7.6,2.8,99.5,94.0
East Sussex,845,0.038926418,0.000155292,0.043034132,0.007302265,2538,2004,140,120,9.1%,10.8%,626,0,0,55,0,0,0,3595,33598,2000,420,0,1,1,0,340,0,0,0,2400,24895,2295,1350,0,1,1,300,0,0,40,0,0,0.882352941,29,1500,6010,14245,4490,3345,1350,0,0,30,0,25,0,0,68,434,3830,16266,7121,7680,4282,0,30,25,0,0,0,0.545454545,20,835,3600,22661,3840,4395,4282,18503.63657,9913.787186,21876.94361,z,z,z,11,16,3,0,0,0,11990356.5,648,5056031.465,510,19557987.59,894,0,0,0,0,0,0,0.113288998,0.014407107,91141945.68,88.9,6.4,1.6,88.6,5.9,1.0,97.0,95.4
Brighton and Hove,846,0.03768412,0.010859047,0.026058062,0.014952781,3121,2151,0,40,15.2%,12.3%,0,240,0,0,0,0,0,2728,15977,2100,607,0,NULL,NULL,0,117,0,0,0,0,14656,0,0,0,1,1,0,40,77,0,0,0,0.341880342,58,0,3000,8632,1661,1363,0,0,0,0,0,0,0,NULL,NULL,840,1260,13662,2574,1290,1786,0,0,0,0,0,0,NULL,NULL,949,5571,11187,1709,210,1786,15812.399,4238.928111,z,z,z,z,2,5,0,0,0,0,5218091.671,330,635839.2167,150,0,0,0,0,0,0,0,0,0.092495637,0.075939389,62215954,84.9,7.0,1.6,82.3,9.8,3.7,93.5,95.8
Hampshire,850,0.031244407,0.007497904,0.004731742,-0.006470241,11137,1154,1440,1310,8.4%,10.8%,2240,150,216,1614,0,0,0,28158,75288,8064,569,0,1,1,30,165,0,0,0,12575,58087,5298,0,0,1,1,0,0,195,0,0,0,0,74,1450,17982,27283,17094,12151,0,0,328,1136,30,120,216,0.203221809,51,2010,9750,48455,14642,11943,25279,212,46,743,541,72,216,0.159851301,51,4229,9402,51481,11297,10391,25279,18285.25048,4151.725765,30860.78504,47022.70573,24091.65339,z,25,33,1,2,1,0,38545308.01,2108,4753726,1145,6480764.858,210,16222833.48,345,722749.6017,30,0,0,0.155927945,0.021145567,272060853.7,92.2,5.0,1.2,92.4,4.7,1.0,98.5,98.1
Portsmouth,851,0.024050321,0.024913666,0.029849065,0.019261095,1502,930,110,90,6.5%,11.5%,105,810,0,15,0,0,0,750,14260,1980,315,0,1,1,0,115,0,0,150,1040,8065,1000,0,450,1,1,0,0,75,0,40,150,0,74,0,1040,2000,3135,3930,450,0,0,0,0,0,15,NULL,NULL,315,840,5345,2715,3390,4700,0,0,0,0,0,15,NULL,NULL,420,735,4295,4455,2700,4700,17169.46316,6326.702556,z,5584.965063,z,z,4,2,0,1,0,0,4721602.369,275,379602.1534,60,0,0,530571.681,95,0,0,0,0,0.222943239,0.158913841,38790371.26,86.6,8.7,2.0,87.7,8.2,1.2,97.4,97.1
Southampton,852,0.01980542,0.004864489,0.03501506,-0.003200301,5367,496,0,780,12.0%,7.7%,0,84,0,0,120,0,0,4269,13354,3581,90,420,0,118,121,120,0,0,0,1079,8284,2114,0,0,1,1,241,0,0,0,0,0,1,1,1829,1938,2746,2003,2961,0,0,0,120,0,0,0,0,68,3885,2235,8710,3308,723,2853,0,0,120,0,0,0,0,69,2055,2070,10002,3591,1143,2853,10421.746,11288.91957,z,z,z,z,3,6,0,0,0,0,2501219.041,240,2032005.522,180,0,0,0,0,0,0,0,0,0.262132822,0.44531159,65358574.58,86.7,8.0,2.4,78.6,8.3,3.6,97.1,90.4
Leicestershire,855,0.031253445,0.005273215,0.041799514,0.010348554,6633,0,1190,1490,7.5%,8.6%,2372,0,92,738,189,0,0,8805,41778,5970,954,210,0.814524043,100,65,50,0,0,0,8613,28541,8124,2745,0,1,1,65,50,0,0,0,0,1,1,6116,3850,11830,12390,5627,8210,0,0,527,210,198,84,0,68,4779,8352,34435,3914,3175,3062,0,0,555,240,140,84,0,69,4615,4185,36960,4627,4268,3062,12176.52613,1213.046216,23312.82153,5263.762066,3882.963533,z,41,1,1,4,3,0,33290622.44,2734,18195.69324,15,4895692.521,210,1784415.341,339,543614.8947,140,0,0,0.213164976,0.129221491,139225778.3,90.4,5.2,1.6,89.7,5.1,1.4,97.2,96.3
Leicester,856,0.008916058,0.005427166,0.057745093,0.008700606,7073,2021,360,720,3.2%,5.3%,88,1362,0,133,0,0,420,4940,25225,3950,420,0,1,1,110,353,191,0,900,5745,8322,1715,600,0,0.70795107,96,77,40,537,0,0,900,0.178899083,67,2045,3275,8227,1035,600,1200,60,30,16,0,0,447,0.849056604,15,7479,6880,14644,1294,420,3818,0,16,90,0,0,447,0.150943396,52,4186,4900,17009,1832,2790,3818,16827.88156,4745.408295,15430.3073,z,8562.449028,z,5,22,1,0,7,0,15397511.63,915,5442983.315,1147,3240364.533,210,0,0,13622856.4,1591,0,0,0.36021548,0.326254009,166735397.4,90.5,5.1,1.2,78.1,10.8,2.7,96.7,91.7
Rutland,857,0.073196986,0.03444564,0.055191046,0.012736395,209,114,0,40,14.4%,2.9%,0,0,0,0,0,0,0,511,2565,360,0,0,NULL,NULL,150,0,0,0,0,900,1815,0,0,0,1,1,150,0,0,0,0,0,1,1,1800,0,915,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,2341,450,70,575,0,0,0,0,0,0,NULL,NULL,0,315,2546,0,0,575,8133.474243,z,z,z,z,z,2,0,0,0,0,0,732012.6819,90,0,0,0,0,0,0,0,0,0,0,0.183903421,0.188893563,5972824.26,95.0,4.4,0.0,90.7,4.4,0.3,99.4,95.3
Staffordshire,860,0.016318274,-0.002382558,0.044111281,0.013169587,6974,4480,280,230,12.3%,15.9%,2135,1010,112,233,131,0,420,8410,53952,7326,520,0,0.724789916,107,0,568,52,0,1550,3052,40063,14150,1590,0,0.916129032,80,0,0,0,497,0,1673,0,74,2847,3926,16346,16383,5316,14037,49,15,227,36,0,569,0.195718654,53,3539,4623,35852,7075,4564,14555,49,15,227,36,0,569,0.195718654,46,1980,5547,36676,5531,5919,14555,14412.42247,2670.992787,21060.376,7734.309606,z,z,17,2,1,4,0,0,22584266.02,1567,120194.6754,45,9392927.696,446,3325753.13,430,0,0,0,0,0.120430896,0.010252083,108499598.2,94.8,3.6,0.6,89.7,6.2,1.1,98.9,97.0
Stoke-on-Trent,861,-0.016473036,-0.002601006,0.001397516,0.00318323,4178,0,0,20,7.3%,5.1%,105,556,60,30,0,0,0,3855,15463,3799,0,0,1,1,115,0,0,0,0,1060,10235,3150,0,0,1,1,0,115,0,0,0,0,1,1,0,2110,2850,7235,2100,150,0,60,30,0,0,0,0.666666667,19,840,1620,11738,3463,2580,2876,0,60,30,0,0,0,0.666666667,15,1470,1176,9496,4169,3930,2876,8692.986693,5111.3079,z,z,z,z,3,5,0,0,0,0,2868685.609,330,1073374.659,210,0,0,0,0,0,0,0,0,0.207889355,0.14005514,32707478.99,94.7,3.4,0.2,82.2,8.2,2.1,98.3,92.5
Wiltshire,865,0.072869311,0.037649579,0.07102766,0.03173834,5451,2816,50,270,14.4%,15.5%,1360,644,46,360,0,15,315,5975,29526,7337,1745,0,0.964370546,87,0,346,0,0,0,7878,19956,7245,600,0,1,1,0,0,346,0,0,0,0,74,3056,7778,18401,3959,1885,600,15,0,46,60,300,315,0.035629454,67,1099,2574,25940,6222,5216,3532,15,0,406,0,0,315,0.035629454,68,1804,2160,29784,3263,4040,3532,19558.27498,6906.108814,21324.75901,19301.5038,z,z,17,1,1,3,0,0,32740552.31,1674,621549.7932,90,4478199.392,210,7334571.443,380,0,0,0,0,0.200779037,0.11211878,68201550.69,93.1,4.4,0.9,93.1,3.9,0.9,98.4,98.0
Swindon,866,-0.001739046,-0.004782378,0.014571454,0.00443479,3863,2895,0,130,8.5%,18.9%,540,570,0,20,0,0,0,3140,14861,3222,574,0,1,1,0,0,0,0,750,0,7864,5090,600,0,NULL,NULL,0,0,0,0,0,750,NULL,NULL,0,2649,8117,2188,0,600,0,0,20,0,0,0,0,68,371,2827,10885,3460,2028,2226,0,0,20,0,0,0,0,69,371,1470,15251,1290,1189,2226,5371.172038,12901.3446,z,102003.6822,z,z,1,1,0,1,0,0,161135.1611,30,387040.338,30,0,0,2550092.054,25,0,0,0,0,0.319285126,0.17219917,26046095.06,95.1,3.8,0.6,91.2,6.8,0.9,99.5,99.0
Bracknell Forest,867,0.127734651,0.020163323,0.076822917,0.008789063,1681,2166,0,0,11.8%,22.5%,0,120,0,0,61,0,0,1049,5732,3359,0,0,0,118,30,0,0,0,1365,2480,5785,0,0,0,1,1,0,30,0,0,0,1365,1,1,1010,1470,2451,1972,1362,0,0,0,61,0,0,0,0,68,209,870,6661,1710,210,480,0,0,61,0,0,0,0,69,629,240,8161,630,0,480,22991.65074,28132.8573,z,29153.90682,z,z,5,2,0,1,0,0,16278088.73,708,1125314.292,40,0,0,10262175.2,352,0,0,0,0,0.172285095,0.227404194,51466907.52,92.5,5.2,1.1,82.3,8.0,5.2,98.9,95.5
Windsor and Maidenhead,868,-0.001053833,-0.002898042,0.013199246,0.002514142,2440,2016,10,0,11.3%,13.9%,201,420,0,15,95,0,0,3869,7179,1276,0,0,0.136363636,117,124,229,96,0,0,4222,6648,585,0,0,0.786191537,92,0,124,94,135,0,96,0.351274788,55,1181,1642,3454,2238,0,2940,0,0,15,0,0,95,0,68,1614,1270,3204,1200,159,4877,0,0,15,0,0,95,0,69,1260,975,4432,780,0,4877,9159.199388,8132.013489,z,17308.77371,z,z,2,2,0,1,0,0,549551.9633,60,658693.0926,81,0,0,2077052.846,120,0,0,0,0,0.262915025,0.166019166,31563843.24,83.6,8.0,2.9,76.5,12.2,3.4,94.4,92.1
West Berkshire,869,0.053280228,0.013376418,0.024892704,0.009120172,1458,298,50,130,12.3%,9.5%,240,295,15,0,0,0,0,1255,11977,1043,0,0,1,1,0,0,0,0,0,3039,8636,0,0,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,2847,7691,1137,0,0,0,0,0,15,0,0,0,68,730,1390,7177,2429,971,1578,0,0,15,0,0,0,0,69,1346,1905,8521,659,266,1578,21159.38014,4500.187493,z,z,z,z,4,5,0,0,0,0,5924626.44,280,585024.3741,130,0,0,0,0,0,0,0,0,0.089488278,0.038955741,32047920.15,94.4,3.8,0.9,89.8,5.3,1.5,99.1,96.6
Reading,870,0.06776365,0.016679132,0.011086821,0.001561524,4065,2996,0,70,14.9%,15.3%,120,715,0,0,0,0,0,2090,11113,1395,396,0,NULL,NULL,0,0,150,0,0,2247,4438,2650,0,0,0,111,0,0,0,0,150,0,0,74,1647,0,2362,0,2650,2676,0,0,0,0,0,0,NULL,NULL,870,240,9369,2995,420,1100,0,0,0,0,0,0,NULL,NULL,450,870,9919,1545,1110,1100,23312.82811,z,19490.02581,z,z,z,6,0,2,0,0,0,27555762.82,1182,0,0,8185810.84,420,0,0,0,0,0,0,0.330783169,0.866712867,62103202.44,88.0,6.7,2.7,64.4,14.1,5.8,97.3,84.3
Slough,871,0.015359886,-0.004881824,0.008921792,-0.008542141,5672,6557,0,0,8.5%,7.3%,0,0,44,60,0,0,0,3841,13006,630,0,840,1,1,335,409,0,0,0,8129,4143,905,1140,1100,1,1,0,335,0,0,409,0,0.450268817,50,5929,3054,2260,905,1029,2240,44,0,60,0,0,0,0.423076923,29,3928,5918,3880,2506,0,2085,0,44,60,0,0,0,0.423076923,26,450,5008,6790,3346,638,2085,21262.18801,4518.305463,z,z,z,z,5,5,0,0,0,0,14968580.36,704,1626589.967,360,0,0,0,0,0,0,0,0,0.445523942,0.695448276,82225167.24,92.0,5.7,1.3,62.8,13.7,6.3,98.9,82.8
Wokingham,872,0.048214168,0.003551931,-0.049187625,-0.001669263,2928,2620,230,70,9.4%,5.3%,810,0,0,233,180,0,0,2770,10722,1560,420,0,0.564164649,113,106,0,0,0,0,1209,10163,1210,0,0,1,1,106,0,0,0,0,0,1,1,4335,1175,4102,1770,0,1200,0,0,365,0,48,0,0,68,840,1428,9065,1040,372,2727,0,0,365,0,48,0,0,69,1155,1691,8837,690,372,2727,14658.0455,19645.74261,24838.65993,z,z,31954.16057,4,2,1,0,0,1,6156379.112,420,884058.4174,45,11078042.33,446,0,0,0,0,38344992.69,1200,0.331790643,0.210277614,58885759.64,88.7,7.8,1.4,79.9,10.3,3.6,97.9,93.8
Cambridgeshire,873,0.066043884,0.017834219,0.038889453,0.013256231,13455,3822,170,940,18.6%,13.9%,2910,1500,270,606,111,120,240,4924,41897,7413,989,1050,0.791327913,103,390,0,0,0,0,8570,26665,1949,0,750,1,1,240,150,0,0,0,0,1,1,8072,6793,17201,4448,0,1420,270,0,507,240,0,330,0.265486726,44,4931,4048,28785,7207,3776,7526,270,0,447,150,150,330,0.265486726,40,4897,4835,31612,3800,3963,7166,23945.08686,z,24387.36887,27404.8404,z,51972.94482,19,0,4,2,0,1,70973237.46,2964,0,0,55017904.17,2256,8221452.119,300,0,0,31183766.89,600,0.224226924,0.126929789,165282562.6,92.8,4.3,1.0,89.5,5.3,1.5,98.0,96.3
